Connor McDavid Full RAPM Profile (All Metrics):
Season     | Metric                                   | Value    | Rank | Total | Percentile
20252026   | penalties_drawn_rapm_5v5                 |   0.0216 |   24 |   550 |   95.8%
20252026   | penalties_taken_rapm_5v5                 |  -0.0216 |  527 |   550 |    4.4%
20252026   | primary_assist_rapm_5v5                  |   0.0208 |  163 |   550 |   70.5%
20252026   | secondary_assist_rapm_5v5                |   0.0156 |  147 |   550 |   73.5%
20252026   | takeaway_to_xg_swing_rapm_5v5_w10        |   0.0604 |   18 |   550 |   96.9%
20252026   | turnover_to_xg_swing_rapm_5v5_w10        |   0.0000 |    1 |   550 |   50.1%
20252026   | xg_def_rapm_5v5                          |   1.3303 |  169 |   550 |   69.5%
20252026   | xg_off_rapm_5v5                          |   4.3410 |   28 |   550 |   95.1%
20252026   | xg_pk_def_rapm                           |   0.9178 |   45 |   354 |   87.6%
20252026   | xg_pp_off_rapm                           |   4.2951 |    4 |   354 |   99.2%
20252026   | xg_primary_assist_on_goals_rapm_5v5      |   0.0059 |  175 |   550 |   68.4%
20252026   | xg_rapm_5v5                              |   0.6566 |    2 |   550 |   99.8%
20252026   | xg_secondary_assist_on_goals_rapm_5v5    |  -0.0078 |  387 |   550 |   29.8%
