Connor McDavid Full RAPM Profile (Position: C):
Season     | Metric                              | Value    | Rank(All) | Pct(All) | Rank(Pos) | Pct(Pos)
20232024   | xg_def_rapm_5v5                     |   0.1589 |   19/508  |   96.5% |    5/160  |   97.5%
20232024   | xg_off_rapm_5v5                     |   0.3815 |    8/508  |   98.6% |    3/160  |   98.8%
20232024   | xg_pk_def_rapm                      |   0.2320 |   11/303  |   96.7% |    5/106  |   96.2%
20232024   | xg_pp_off_rapm                      |   0.2071 |   11/303  |   96.7% |    5/106  |   96.2%
20232024   | xg_primary_assist_on_goals_rapm_5v5 |   0.0537 |   45/508  |   91.3% |   12/160  |   93.1%
20232024   | xg_rapm_5v5                         |   0.5481 |    6/508  |   99.0% |    2/160  |   99.4%
20232024   | xg_secondary_assist_on_goals_rapm_5v5 |   0.0091 |  155/508  |   69.7% |   55/160  |   66.2%
20242025   | blocked_shot_to_xg_swing_rapm_5v5_w10 |   0.0245 |  124/560  |   78.0% |   38/172  |   78.5%
20242025   | corsi_def_rapm_5v5                  |   3.2980 |   91/818  |   89.0% |   30/226  |   87.2%
20242025   | corsi_off_rapm_5v5                  |   5.9340 |   24/818  |   97.2% |   10/226  |   96.0%
20242025   | corsi_pk_def_rapm                   |   0.7679 |   60/294  |   79.9% |   21/92   |   78.3%
20242025   | corsi_pp_off_rapm                   |   3.1625 |   19/294  |   93.9% |    7/92   |   93.5%
20242025   | corsi_rapm_5v5                      |   7.8514 |   47/901  |   94.9% |   18/238  |   92.9%
20242025   | faceoff_loss_to_xg_swing_rapm_5v5_w10 |   0.2095 |    6/560  |   99.1% |    3/172  |   98.8%
20242025   | finishing_residual_rapm_5v5         |  -2.9402 |  557/560  |    0.7% |  172/172  |    0.6%
20242025   | giveaway_to_xg_swing_rapm_5v5_w10   |   0.1116 |    8/560  |   98.8% |    2/172  |   99.4%
20242025   | goals_rapm_5v5                      |  -0.2771 |  436/560  |   22.3% |  134/172  |   22.7%
20242025   | hd_xg_def_rapm_5v5_ge020            |   0.0164 |  294/560  |   47.7% |   93/172  |   46.5%
20242025   | hd_xg_off_rapm_5v5_ge020            |   2.4504 |    2/560  |   99.8% |    1/172  |  100.0%
20242025   | hd_xg_rapm_5v5_ge020                |   2.4541 |    4/560  |   99.5% |    1/172  |  100.0%
20242025   | penalties_drawn_rapm_5v5            |   0.0300 |    2/560  |   99.8% |    1/172  |  100.0%
20242025   | penalties_taken_rapm_5v5            |  -0.0300 |  559/560  |    0.4% |  172/172  |    0.6%
20242025   | primary_assist_rapm_5v5             |  -0.1080 |  554/560  |    1.2% |  170/172  |    1.7%
20242025   | secondary_assist_rapm_5v5           |  -0.0389 |  490/560  |   12.7% |  155/172  |   10.5%
20242025   | takeaway_to_xg_swing_rapm_5v5_w10   |   0.0084 |  123/560  |   78.2% |   42/172  |   76.2%
20242025   | turnover_to_xg_swing_rapm_5v5_w10   |   0.1200 |   13/560  |   97.9% |    3/172  |   98.8%
20242025   | xg_def_rapm_5v5                     |   0.1716 |  165/818  |   80.0% |   47/226  |   79.6%
20242025   | xg_off_rapm_5v5                     |   1.1211 |    6/818  |   99.4% |    3/226  |   99.1%
20242025   | xg_pk_def_rapm                      |   0.0289 |   71/294  |   76.2% |   23/92   |   76.1%
20242025   | xg_pp_off_rapm                      |   0.1530 |   18/294  |   94.2% |    6/92   |   94.6%
20242025   | xg_primary_assist_on_goals_rapm_5v5 |  -0.0559 |  543/560  |    3.2% |  167/172  |    3.5%
20242025   | xg_rapm_5v5                         |   3.0484 |   21/812  |   97.5% |    7/225  |   97.3%
20242025   | xg_secondary_assist_on_goals_rapm_5v5 |  -0.0149 |  405/560  |   27.9% |  130/172  |   25.0%
20252026   | blocked_shot_to_xg_swing_rapm_5v5_w10 |   0.1678 |    3/550  |   99.6% |    2/173  |   99.4%
20252026   | corsi_def_rapm_5v5                  |   3.0913 |   21/550  |   96.4% |    7/173  |   96.5%
20252026   | corsi_off_rapm_5v5                  |   5.2496 |    5/550  |   99.3% |    1/173  |  100.0%
20252026   | corsi_pk_def_rapm                   |   2.5404 |   31/354  |   91.5% |   13/126  |   90.5%
20252026   | corsi_pp_off_rapm                   |   3.8773 |   18/354  |   95.2% |    8/126  |   94.4%
20252026   | corsi_rapm_5v5                      |   7.6648 |   29/824  |   96.6% |    5/224  |   98.2%
20252026   | faceoff_loss_to_xg_swing_rapm_5v5_w10 |   0.1019 |   16/550  |   97.3% |    5/173  |   97.7%
20252026   | finishing_residual_rapm_5v5         |   0.0046 |  172/550  |   68.9% |   56/173  |   68.2%
20252026   | giveaway_to_xg_swing_rapm_5v5_w10   |   0.0000 |    1/550  |   50.1% |    1/173  |   50.3%
20252026   | goals_rapm_5v5                      |   0.0046 |  172/550  |   68.9% |   56/173  |   68.2%
20252026   | penalties_drawn_rapm_5v5            |   0.0216 |   24/550  |   95.8% |    8/173  |   96.0%
20252026   | penalties_taken_rapm_5v5            |  -0.0216 |  527/550  |    4.4% |  166/173  |    4.6%
20252026   | primary_assist_rapm_5v5             |   0.0208 |  163/550  |   70.5% |   53/173  |   69.9%
20252026   | secondary_assist_rapm_5v5           |   0.0156 |  147/550  |   73.5% |   50/173  |   71.7%
20252026   | takeaway_to_xg_swing_rapm_5v5_w10   |   0.0604 |   18/550  |   96.9% |    6/173  |   97.1%
20252026   | turnover_to_xg_swing_rapm_5v5_w10   |   0.0000 |    1/550  |   50.1% |    1/173  |   50.3%
20252026   | xg_def_rapm_5v5                     |   1.3303 |  169/550  |   69.5% |   54/173  |   69.4%
20252026   | xg_off_rapm_5v5                     |   4.3410 |   28/550  |   95.1% |    8/173  |   96.0%
20252026   | xg_pk_def_rapm                      |   0.9178 |   45/354  |   87.6% |   18/126  |   86.5%
20252026   | xg_pp_off_rapm                      |   4.2951 |    4/354  |   99.2% |    3/126  |   98.4%
20252026   | xg_primary_assist_on_goals_rapm_5v5 |   0.0059 |  175/550  |   68.4% |   62/173  |   64.7%
20252026   | xg_rapm_5v5                         |   0.6566 |    2/550  |   99.8% |    1/173  |  100.0%
20252026   | xg_secondary_assist_on_goals_rapm_5v5 |  -0.0078 |  387/550  |   29.8% |  118/173  |   32.4%
